Kennziffer;Raumeinheit;Aggregat;Krankenhausbetten;Ärzte je  Einwohner;Einwohner je Arzt;Hausärzte;Allgemeinärzte;Internisten;Kinderärzte;Apotheken;Entwicklung Krankenhausbetten
"05916";"Herne, Stadt";"krsfr. Stadt";"10,30";"13,2";"759,7";"5,2";"3,2";"1,2";"4,9";"23,0";"0,0"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"5,84";"12,9";"774,9";"5,6";"3,8";"0,8";"4,7";"25,9";"-12,3"
"05958";"Hochsauerlandkreis";"Landkreis";"8,00";"11,9";"841,1";"5,8";"4,3";"1,0";"4,0";"29,8";"1,5"
"05962";"Märkischer Kreis";"Landkreis";"6,92";"12,3";"812,1";"5,7";"3,5";"0,7";"4,6";"27,1";"-4,5"
"05966";"Olpe";"Landkreis";"6,25";"11,6";"858,6";"6,2";"4,2";"0,7";"3,7";"28,2";"1,4"
"05970";"Siegen-Wittgenstein";"Landkreis";"7,61";"12,6";"796,5";"5,8";"3,8";"0,8";"4,1";"28,1";"-2,1"
"05974";"Soest";"Landkreis";"6,81";"12,6";"793,9";"5,8";"4,0";"0,6";"4,5";"25,2";"0,8"
"05978";"Unna";"Landkreis";"6,76";"12,6";"791,0";"5,5";"3,5";"0,9";"4,7";"26,9";"28,4"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"9,62";"21,4";"468,2";"6,7";"4,2";"2,3";"6,1";"29,7";"0,1"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"8,00";"17,4";"575,4";"6,1";"4,1";"1,4";"5,4";"26,0";"-5,9"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"9,12";"18,2";"550,7";"6,5";"4,7";"1,7";"5,1";"29,2";"0,9"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"7,45";"20,0";"501,2";"6,7";"4,2";"1,6";"5,6";"33,4";"-2,6"
"06431";"Bergstraße";"Landkreis";"3,56";"12,3";"812,0";"6,0";"4,0";"0,6";"4,8";"27,2";"-11,0"
"06432";"Darmstadt-Dieburg";"Landkreis";"1,45";"10,5";"948,9";"5,1";"3,2";"0,4";"4,6";"23,3";"-5,1"
"06433";"Groß-Gerau";"Landkreis";"3,92";"11,3";"886,9";"5,3";"3,3";"0,6";"4,2";"27,6";"2,6"
"06434";"Hochtaunuskreis";"Landkreis";"5,10";"14,5";"690,0";"5,7";"3,3";"1,1";"4,6";"28,4";"7,2"
"06435";"Main-Kinzig-Kreis";"Landkreis";"4,07";"11,6";"858,7";"6,1";"4,3";"0,6";"4,0";"26,1";"3,2"
"06436";"Main-Taunus-Kreis";"Landkreis";"2,91";"12,3";"814,3";"5,5";"3,2";"0,6";"4,2";"23,6";"1,9"
"06437";"Odenwaldkreis";"Landkreis";"4,54";"11,1";"902,8";"6,0";"4,5";"0,3";"2,4";"24,8";"20,0"
